r2,rmse,mae,hit_rate,ic,rank_ic,trade_date,count
-8691.58541288272,0.8925736947207014,0.5963993062303627,0.445859872611465,0.08115899022836906,-0.11228084279483004,2025-06-03,471
-6730.170369639944,0.7335445351000869,0.4467084898996129,0.474468085106383,0.10849286325756849,-0.020492604061950716,2025-06-04,470
-5070.666496853568,0.6796327206091757,0.41232775930492366,0.4723404255319149,-0.17131038289603084,-0.10005868668390187,2025-06-05,470
-4808.313310647086,0.7261372370800573,0.43429277511367637,0.5859872611464968,-0.06810046047077338,0.17107664673684597,2025-06-06,471
-12440.272400295758,0.9136678893640698,0.5982207063888221,0.47146401985111663,-0.01827228785258333,-0.04641522261185046,2025-06-09,403
-11100.040786739875,0.798230002653637,0.49265608712690473,0.3920595533498759,-0.04584736083363618,-0.2937080438164923,2025-06-10,403
-14990.25644453081,0.9172296779889815,0.5994441825102578,0.39148936170212767,-0.028488088089931272,-0.23349122777108208,2025-06-11,470
-8296.975112943628,0.8088360999228653,0.513434609990569,0.4562899786780384,0.10440019081428004,-0.04018171941322149,2025-06-12,469
-11238.766739296098,0.8459558443811105,0.5326643285058609,0.3411513859275053,-0.09063280239890321,-0.3254139636165677,2025-06-13,469
-12755.411907378915,0.905614222258752,0.5731111492638592,0.40384615384615385,-0.03845023723981728,-0.14545305334400543,2025-06-16,468
-10442.85735944991,0.9527571949992157,0.6116783084098244,0.31196581196581197,-0.06203273590699542,-0.33740280408438544,2025-06-17,468
-3761.381013631479,0.5521567893507305,0.3721219346489165,0.5138592750533049,0.004295233703015302,0.0008257752621042557,2025-06-18,469
-4639.844610618179,0.730057549015854,0.546141722169036,0.47761194029850745,0.09023938194399024,0.15407321587061193,2025-06-19,469
-12038.781286251526,0.810794593811753,0.6084636653950742,0.5384615384615384,0.08504109622711739,0.1364902901545172,2025-06-20,468
-7663.32848463185,0.8132681844618783,0.6093492919951234,0.4423076923076923,-0.19774641251003236,-0.30627974090532817,2025-06-23,468
-11880.067237769304,0.790761681014509,0.5969817584347761,0.47863247863247865,-0.16834605524971807,-0.1924660295014093,2025-06-24,468
-6224.503078541808,0.7911005348157034,0.6002697765824143,0.5363247863247863,-0.08742304770165348,0.023617704591848858,2025-06-25,468
-9279.790152985797,0.7931321286384453,0.5955065238886246,0.4829059829059829,-0.042516523078134416,0.048980220669951884,2025-06-26,468
-6341.238603652884,0.8413479187541667,0.5928114560400212,0.5213675213675214,0.013666397639852846,0.07451845883882702,2025-06-27,468
-14769.417708920066,0.976291478540526,0.6270813179970508,0.39828693790149894,-0.20648524374787283,-0.2685345490852287,2025-06-30,467
-7109.058201188414,0.9533988382570586,0.6033826819942697,0.44325481798715205,-0.09140577548954405,-0.06185543081169443,2025-07-01,467
-12786.169624203298,0.9152177015210874,0.6063714920759974,0.38626609442060084,-0.19317845680638235,-0.3161719596067878,2025-07-02,466
-2337.839080608611,0.53608663278449,0.3675942859817407,0.49141630901287553,-0.050011182880593925,0.04995883658584091,2025-07-03,466
-9571.898351113547,0.8796551403958612,0.6875117750894786,0.48068669527896996,-0.08958963008830666,-0.1650803805711057,2025-07-04,466
-9274.016469675194,0.8492450994160002,0.6347687794315577,0.5427350427350427,0.09270069701233265,0.10934105152520569,2025-07-07,468
-6478.964148721611,0.8621877700687375,0.6783791733525927,0.5064377682403434,0.12352334276536048,0.08600405378844228,2025-07-08,466
-7596.999439083778,0.7686358173675499,0.6006282516673551,0.4721030042918455,-0.08793713068202791,-0.09373417832222251,2025-07-09,466
-3165.0675460701927,0.5193629217285816,0.4052460113597838,0.5214592274678111,-0.08178018758240164,-0.03738930569460333,2025-07-10,466
-3202.7838605047828,0.5165707607648742,0.3716602398963433,0.48504273504273504,0.009052834370097781,-0.034846943249257155,2025-07-11,468
-4296.647090997999,0.5846261926618121,0.3793529266985175,0.5192307692307693,-0.09255385897007704,-0.14139786513464161,2025-07-14,468
-4140.436809456396,0.6009071231421902,0.3902967499208248,0.5579399141630901,0.10387318943577488,0.09659252311124852,2025-07-15,466
-3449.3202772296454,0.6220717572302842,0.3951459893173688,0.555793991416309,0.0023389466150227534,0.09570017974344978,2025-07-16,466
-2721.335963378185,0.5590445723792623,0.35476977927431946,0.47639484978540775,-0.08837464931370288,-0.13151724164510167,2025-07-17,466
-4118.011521037616,0.5535369006226327,0.34782162972012876,0.5336658354114713,0.0828560855113349,0.1394863587300406,2025-07-18,401
-2706.960916891901,0.5062917178815881,0.34261104037141843,0.5062344139650873,0.019018804454819297,0.08838686864927235,2025-07-21,401
-1813.7970003173243,0.56260168177511,0.3659622824471683,0.5818965517241379,0.045097598676424544,0.12402741707248513,2025-07-22,464
-2737.508896449481,0.5357511014206658,0.3482281756063075,0.4731182795698925,-0.009164429026871508,-0.007173564332329198,2025-07-23,465
-2682.2274955481644,0.5224439242376545,0.3573796683111086,0.5086206896551724,0.011820074558210547,-0.03665027376230368,2025-07-24,464
-2444.297896568709,0.5296250117576774,0.36184170390850245,0.45788336933045354,0.12144096859348849,-0.05209301572040828,2025-07-25,463
-4432.136616646289,0.5372059289448388,0.36811782309378305,0.43412526997840173,-0.19878435708984935,-0.07083215250527382,2025-07-28,463
-1972.3994532505849,0.5270052177143199,0.39672301669778803,0.48156182212581344,-0.15749688464052966,-0.1120094655886413,2025-07-29,461
-5137.594610555535,0.7890487455109328,0.6117017412876465,0.5075921908893709,0.016198728531656627,0.049844873602300756,2025-07-30,461
-4571.348095718635,0.6554471825157044,0.5078041904397524,0.45098039215686275,-0.08062926502528275,-0.10506135749660916,2025-07-31,459
-2316.7769897190788,0.480637895549375,0.36364485202708385,0.55119825708061,0.06302291926731245,0.11165265042793268,2025-08-01,459
-1193.4997888034948,0.4940131536542226,0.37962086015794866,0.5369565217391304,0.016746983957673607,-0.05768154160340612,2025-08-04,460
-1718.6288196750966,0.5062595242091237,0.38251990601043245,0.5381263616557734,-0.0033112935824672176,0.005501016937374277,2025-08-05,459
-1674.6116720990603,0.5614391902943207,0.4372521163207886,0.5327510917030568,0.042430478550341176,0.05173480563747895,2025-08-06,458
-4352.594669332029,0.8971632007706851,0.6865858385513491,0.5043859649122807,-0.033224561821607046,-0.08336246271291764,2025-08-07,456
-4760.991110734398,0.9099563353084036,0.7121510376259342,0.5,0.105858750252389,0.1387351563557944,2025-08-08,456
-5524.728286851701,0.8532523215620019,0.6368418072841321,0.5616740088105727,0.17620182926610078,0.21585056714735504,2025-08-11,454
-5507.447804311743,0.8636186416953439,0.6406074608572623,0.45594713656387664,-0.06516634078089918,-0.1266463559488036,2025-08-12,454
-4248.067571356458,0.9246268430574552,0.6938309066275752,0.5,0.016750934587259615,-0.016773758601390205,2025-08-13,452
